Date,AQI
11-02-2021,184
12-02-2021,216
13-02-2021,222
14-02-2021,155
15-02-2021,151
16-02-2021,233
17-02-2021,216
18-02-2021,170
19-02-2021,87
20-02-2021,70
21-02-2021,134
23-02-2021,222
24-02-2021,189
25-02-2021,221
26-02-2021,270
03-03-2021,66
04-03-2021,186
05-03-2021,86
07-03-2021,244
10-03-2021,242
11-03-2021,156
12-03-2021,174
18-03-2021,77
19-03-2021,70
20-03-2021,68
23-03-2021,132
24-03-2021,71
25-03-2021,255
27-03-2021,186
28-03-2021,500
29-03-2021,403
30-03-2021,80
02-04-2021,79
03-04-2021,107
04-04-2021,127
06-04-2021,192
07-04-2021,155
08-04-2021,228
09-04-2021,206
10-04-2021,130
16-04-2021,273
18-04-2021,67
28-04-2021,90
01-05-2021,174
04-05-2021,72
05-05-2021,76
08-05-2021,74
12-05-2021,118
14-05-2021,95
22-05-2021,76
23-05-2021,75
24-05-2021,70
26-05-2021,80
27-05-2021,78
03-06-2021,79
04-06-2021,78
08-06-2021,78
20-06-2021,177
23-06-2021,82
26-06-2021,87
28-06-2021,81
30-06-2021,81
01-07-2021,75
02-07-2021,84
03-07-2021,81
05-07-2021,121
12-07-2021,87
21-07-2021,84
22-07-2021,79
23-07-2021,79
24-07-2021,79
26-07-2021,92
28-07-2021,110
29-07-2021,133
30-07-2021,174
01-08-2021,227
02-08-2021,274
03-08-2021,134
06-08-2021,87
07-08-2021,87
09-08-2021,96
10-08-2021,99
11-08-2021,188
12-08-2021,265
13-08-2021,93
14-08-2021,88
15-08-2021,94
16-08-2021,95
17-08-2021,101
18-08-2021,96
20-08-2021,99
22-08-2021,145
23-08-2021,103
26-08-2021,98
27-08-2021,112
31-08-2021,206
01-09-2021,100
03-09-2021,101
04-09-2021,97
07-09-2021,94
08-09-2021,99
09-09-2021,96
10-09-2021,94
16-09-2021,96
17-09-2021,99
20-09-2021,103
22-09-2021,104
23-09-2021,104
25-09-2021,223
26-09-2021,99
28-09-2021,106
30-09-2021,102
01-10-2021,103
02-10-2021,103
05-10-2021,205
06-10-2021,226
14-10-2021,106
15-10-2021,104
16-10-2021,110
19-10-2021,108
20-10-2021,100
21-10-2021,123
23-10-2021,111
29-10-2021,109
30-10-2021,143
02-11-2021,159
03-11-2021,214
07-11-2021,46
08-11-2021,48
09-11-2021,60
10-11-2021,36
13-11-2021,272
16-11-2021,67
22-11-2021,122
23-11-2021,35
24-11-2021,41
25-11-2021,41
02-12-2021,70
10-12-2021,76
11-12-2021,53
12-12-2021,77
14-12-2021,79
15-12-2021,59
17-12-2021,158
18-12-2021,169
19-12-2021,45
22-12-2021,49
23-12-2021,43
24-12-2021,51
25-12-2021,46
26-12-2021,35
27-12-2021,46
29-12-2021,39
30-12-2021,32
31-12-2021,32
01-01-2022,37
04-01-2022,35
12-01-2022,52
20-01-2022,46
22-01-2022,35
23-01-2022,26
24-01-2022,48
26-01-2022,50
27-01-2022,42
28-01-2022,39
29-01-2022,39
10-02-2022,47
11-02-2022,52
13-02-2022,52
14-02-2022,44
15-02-2022,56
16-02-2022,88
18-02-2022,48
23-02-2022,59
24-02-2022,38
26-02-2022,52
01-03-2022,56
02-03-2022,62
03-03-2022,199
04-03-2022,70
05-03-2022,72
08-03-2022,84
09-03-2022,84
11-03-2022,41
12-03-2022,46
15-03-2022,237
16-03-2022,53
17-03-2022,53
18-03-2022,54
22-03-2022,62
27-03-2022,89
29-03-2022,52
30-03-2022,68
01-04-2022,42
03-04-2022,222
04-04-2022,66
07-04-2022,48
08-04-2022,60
09-04-2022,44
10-04-2022,47
13-04-2022,74
15-04-2022,71
19-04-2022,49
21-04-2022,70
22-04-2022,64
23-04-2022,68
24-04-2022,48
26-04-2022,56
11-05-2022,80
15-05-2022,56
18-05-2022,69
19-05-2022,206
25-05-2022,60
03-06-2022,49
30-07-2022,40
11-08-2022,37
13-08-2022,57
27-08-2022,61
28-08-2022,70
29-08-2022,114
30-08-2022,88
31-08-2022,215
01-09-2022,62
05-09-2022,64
06-09-2022,78
18-09-2022,61
24-09-2022,72
25-09-2022,69
26-09-2022,72
01-10-2022,72
02-10-2022,70
08-10-2022,73
09-10-2022,72
13-10-2022,83
14-10-2022,78
15-10-2022,74
18-10-2022,77
19-10-2022,74
20-10-2022,80
21-10-2022,78
22-10-2022,79
24-10-2022,196
25-10-2022,219
28-10-2022,217
29-10-2022,175
30-10-2022,90
02-11-2022,94
09-11-2022,98
10-11-2022,93
11-11-2022,103
15-11-2022,94
17-11-2022,99
18-11-2022,96
19-11-2022,232
20-11-2022,94
29-11-2022,101
04-12-2022,96
05-12-2022,94
06-12-2022,100
08-12-2022,204
13-12-2022,102
18-12-2022,148
20-12-2022,102
22-12-2022,186
23-12-2022,103
24-12-2022,101
25-12-2022,99
26-12-2022,98
27-12-2022,106
29-12-2022,104
31-12-2022,99
03-01-2023,108
06-01-2023,107
08-01-2023,103
09-01-2023,105
10-01-2023,104
11-01-2023,102
12-01-2023,105
18-01-2023,105
19-01-2023,104
21-01-2023,107
24-01-2023,103
29-01-2023,102
30-01-2023,109
02-02-2023,107
03-02-2023,107
09-02-2023,102
10-02-2023,105
11-02-2023,104
12-02-2023,103
14-02-2023,107
16-02-2023,104
17-02-2023,105
18-02-2023,105
21-02-2023,105
24-02-2023,106
25-02-2023,106
28-02-2023,106
07-03-2023,119
08-03-2023,121
09-03-2023,125
15-03-2023,73
16-03-2023,73
17-03-2023,73
22-03-2023,73
23-03-2023,73
24-03-2023,73
25-03-2023,74
26-03-2023,73
30-03-2023,73
31-03-2023,73
04-04-2023,73
05-04-2023,73
06-04-2023,73
07-04-2023,73
08-04-2023,73
12-04-2023,73
13-04-2023,73
15-04-2023,73
18-04-2023,74
19-04-2023,73
21-04-2023,73
22-04-2023,73
25-04-2023,73
21-07-2023,73
25-08-2023,73
06-09-2023,73
07-09-2023,73
21-09-2023,73
22-09-2023,78
24-09-2023,76
26-09-2023,73
27-09-2023,73
28-09-2023,73
29-09-2023,73
30-09-2023,73
03-10-2023,47
04-10-2023,78
06-10-2023,73
10-10-2023,76
11-10-2023,73
12-10-2023,73
14-10-2023,88
15-10-2023,77
16-10-2023,84
17-10-2023,82
18-10-2023,88
19-10-2023,85
20-10-2023,89
21-10-2023,93
22-10-2023,82
23-10-2023,88
25-10-2023,92
26-10-2023,96
27-10-2023,100
31-10-2023,87
03-11-2023,47
04-11-2023,84
12-11-2023,98
13-11-2023,103
14-11-2023,101
15-11-2023,96
16-11-2023,93
17-11-2023,101
18-11-2023,92
19-11-2023,86
20-11-2023,81
21-11-2023,73
24-11-2023,107
25-11-2023,98
26-11-2023,97
27-11-2023,78
28-11-2023,73
29-11-2023,73
30-11-2023,63
01-12-2023,54
02-12-2023,56
03-12-2023,47
04-12-2023,61
05-12-2023,62
06-12-2023,62
07-12-2023,61
11-12-2023,50
13-12-2023,63
14-12-2023,72
16-12-2023,56
18-12-2023,50
19-12-2023,49
21-12-2023,59
22-12-2023,58
23-12-2023,57
24-12-2023,69
25-12-2023,64
26-12-2023,53
27-12-2023,47
28-12-2023,47
29-12-2023,48
31-12-2023,48
