Date,AQI
25-11-2017,211
26-11-2017,225
27-11-2017,252
29-11-2017,62
30-11-2017,171
01-12-2017,137
02-12-2017,110
03-12-2017,114
04-12-2017,166
05-12-2017,169
06-12-2017,225
07-12-2017,279
08-12-2017,248
10-12-2017,115
11-12-2017,122
12-12-2017,168
13-12-2017,156
14-12-2017,222
15-12-2017,281
16-12-2017,270
17-12-2017,170
18-12-2017,141
19-12-2017,146
20-12-2017,153
21-12-2017,245
23-12-2017,207
24-12-2017,218
25-12-2017,177
26-12-2017,130
27-12-2017,156
28-12-2017,170
29-12-2017,218
30-12-2017,227
31-12-2017,299
01-01-2018,435
02-01-2018,203
03-01-2018,167
04-01-2018,186
05-01-2018,292
09-01-2018,173
10-01-2018,186
11-01-2018,221
12-01-2018,236
13-01-2018,155
14-01-2018,213
15-01-2018,167
16-01-2018,163
17-01-2018,153
18-01-2018,159
19-01-2018,213
20-01-2018,164
21-01-2018,166
22-01-2018,196
23-01-2018,157
24-01-2018,170
25-01-2018,227
26-01-2018,224
27-01-2018,216
28-01-2018,219
29-01-2018,243
30-01-2018,259
31-01-2018,188
01-02-2018,162
02-02-2018,243
03-02-2018,176
04-02-2018,153
05-02-2018,263
06-02-2018,146
07-02-2018,136
08-02-2018,161
09-02-2018,152
10-02-2018,184
11-02-2018,126
12-02-2018,106
13-02-2018,132
14-02-2018,110
15-02-2018,111
16-02-2018,154
17-02-2018,142
18-02-2018,176
19-02-2018,191
20-02-2018,163
21-02-2018,149
22-02-2018,187
23-02-2018,178
24-02-2018,183
25-02-2018,166
26-02-2018,127
27-02-2018,162
28-02-2018,163
01-03-2018,191
02-03-2018,221
03-03-2018,181
04-03-2018,116
05-03-2018,165
06-03-2018,169
07-03-2018,115
08-03-2018,243
09-03-2018,234
10-03-2018,270
11-03-2018,175
12-03-2018,164
13-03-2018,218
14-03-2018,108
15-03-2018,118
16-03-2018,131
17-03-2018,171
18-03-2018,188
19-03-2018,160
20-03-2018,220
21-03-2018,118
22-03-2018,129
23-03-2018,201
