Date,AQI
23-07-2023,45
24-07-2023,36
25-07-2023,44
26-07-2023,34
27-07-2023,32
28-07-2023,45
29-07-2023,38
30-07-2023,54
31-07-2023,52
01-08-2023,51
02-08-2023,59
03-08-2023,54
04-08-2023,43
05-08-2023,45
06-08-2023,54
07-08-2023,57
08-08-2023,67
09-08-2023,60
10-08-2023,68
11-08-2023,58
12-08-2023,68
13-08-2023,54
14-08-2023,59
15-08-2023,64
16-08-2023,54
17-08-2023,62
18-08-2023,52
19-08-2023,64
20-08-2023,64
22-08-2023,53
23-08-2023,33
24-08-2023,41
25-08-2023,39
26-08-2023,36
27-08-2023,38
29-08-2023,68
30-08-2023,91
31-08-2023,95
01-09-2023,90
02-09-2023,87
03-09-2023,65
04-09-2023,82
05-09-2023,102
06-09-2023,101
07-09-2023,69
08-09-2023,46
09-09-2023,56
10-09-2023,57
11-09-2023,61
12-09-2023,72
14-09-2023,62
15-09-2023,57
16-09-2023,46
17-09-2023,52
18-09-2023,48
19-09-2023,52
20-09-2023,43
21-09-2023,41
22-09-2023,46
23-09-2023,37
24-09-2023,62
25-09-2023,64
27-09-2023,49
29-09-2023,60
30-09-2023,50
01-10-2023,73
02-10-2023,94
03-10-2023,122
04-10-2023,121
05-10-2023,125
06-10-2023,124
07-10-2023,114
08-10-2023,112
09-10-2023,158
10-10-2023,158
11-10-2023,110
12-10-2023,100
13-10-2023,209
14-10-2023,204
15-10-2023,220
16-10-2023,235
17-10-2023,304
18-10-2023,270
19-10-2023,179
21-10-2023,234
22-10-2023,213
23-10-2023,226
24-10-2023,180
25-10-2023,160
26-10-2023,150
27-10-2023,129
28-10-2023,141
29-10-2023,140
30-10-2023,183
31-10-2023,220
02-11-2023,209
03-11-2023,231
04-11-2023,223
05-11-2023,263
06-11-2023,269
07-11-2023,242
08-11-2023,234
09-11-2023,111
10-11-2023,71
11-11-2023,72
12-11-2023,224
13-11-2023,319
14-11-2023,230
15-11-2023,224
16-11-2023,180
18-11-2023,246
19-11-2023,248
20-11-2023,186
21-11-2023,215
22-11-2023,146
23-11-2023,154
24-11-2023,187
25-11-2023,139
26-11-2023,158
27-11-2023,49
28-11-2023,97
29-11-2023,273
30-11-2023,195
01-12-2023,249
02-12-2023,168
03-12-2023,162
05-12-2023,138
06-12-2023,201
07-12-2023,104
08-12-2023,142
09-12-2023,132
10-12-2023,139
11-12-2023,159
12-12-2023,156
14-12-2023,182
15-12-2023,141
16-12-2023,150
17-12-2023,153
18-12-2023,159
19-12-2023,151
20-12-2023,152
21-12-2023,138
22-12-2023,229
23-12-2023,204
24-12-2023,222
25-12-2023,218
26-12-2023,232
27-12-2023,276
28-12-2023,265
30-12-2023,260
31-12-2023,197
