Date,AQI
14-02-2019,244
16-02-2019,254
17-02-2019,301
18-02-2019,236
19-02-2019,245
20-02-2019,299
21-02-2019,251
22-02-2019,159
23-02-2019,180
24-02-2019,236
25-02-2019,248
26-02-2019,187
27-02-2019,122
28-02-2019,180
01-03-2019,196
02-03-2019,243
03-03-2019,107
04-03-2019,92
05-03-2019,180
06-03-2019,176
07-03-2019,177
08-03-2019,159
09-03-2019,165
10-03-2019,365
11-03-2019,392
13-03-2019,117
14-03-2019,90
15-03-2019,163
16-03-2019,194
17-03-2019,189
18-03-2019,71
19-03-2019,128
20-03-2019,110
21-03-2019,160
22-03-2019,93
23-03-2019,213
24-03-2019,285
25-03-2019,242
26-03-2019,159
27-03-2019,243
28-03-2019,229
29-03-2019,177
30-03-2019,174
31-03-2019,104
01-04-2019,113
02-04-2019,112
03-04-2019,125
04-04-2019,127
05-04-2019,88
06-04-2019,94
07-04-2019,92
08-04-2019,96
09-04-2019,101
10-04-2019,100
11-04-2019,104
12-04-2019,114
13-04-2019,141
14-04-2019,141
15-04-2019,129
16-04-2019,145
17-04-2019,85
18-04-2019,91
19-04-2019,117
20-04-2019,116
21-04-2019,102
22-04-2019,93
23-04-2019,95
24-04-2019,100
25-04-2019,98
26-04-2019,117
27-04-2019,153
28-04-2019,206
29-04-2019,184
30-04-2019,106
01-05-2019,111
02-05-2019,137
03-05-2019,101
04-05-2019,100
05-05-2019,105
06-05-2019,98
07-05-2019,95
08-05-2019,82
09-05-2019,76
10-05-2019,77
11-05-2019,68
12-05-2019,88
13-05-2019,88
14-05-2019,73
15-05-2019,70
16-05-2019,76
17-05-2019,98
18-05-2019,90
19-05-2019,112
20-05-2019,86
21-05-2019,87
22-05-2019,54
23-05-2019,57
24-05-2019,88
25-05-2019,76
26-05-2019,67
27-05-2019,84
28-05-2019,76
29-05-2019,61
31-05-2019,54
01-06-2019,58
02-06-2019,57
03-06-2019,48
04-06-2019,51
05-06-2019,54
06-06-2019,56
07-06-2019,58
08-06-2019,55
09-06-2019,47
10-06-2019,55
11-06-2019,52
12-06-2019,56
13-06-2019,47
14-06-2019,47
15-06-2019,43
16-06-2019,48
17-06-2019,53
18-06-2019,48
19-06-2019,56
20-06-2019,62
21-06-2019,84
22-06-2019,91
23-06-2019,82
24-06-2019,89
25-06-2019,70
26-06-2019,57
27-06-2019,44
28-06-2019,40
29-06-2019,43
30-06-2019,53
01-07-2019,43
02-07-2019,38
03-07-2019,39
05-07-2019,59
07-07-2019,36
08-07-2019,47
10-07-2019,71
11-07-2019,56
12-07-2019,65
13-07-2019,52
14-07-2019,45
15-07-2019,94
16-07-2019,78
17-07-2019,57
18-07-2019,57
19-07-2019,75
20-07-2019,78
21-07-2019,54
22-07-2019,49
23-07-2019,49
24-07-2019,37
25-07-2019,57
26-07-2019,66
