Date,AQI
01-05-2015,157
02-05-2015,156
03-05-2015,211
04-05-2015,227
08-05-2015,213
09-05-2015,170
10-05-2015,267
11-05-2015,301
12-05-2015,212
13-05-2015,202
14-05-2015,274
15-05-2015,157
16-05-2015,168
17-05-2015,130
18-05-2015,166
19-05-2015,140
20-05-2015,192
21-05-2015,234
22-05-2015,266
23-05-2015,273
24-05-2015,342
25-05-2015,263
26-05-2015,215
27-05-2015,208
28-05-2015,196
29-05-2015,334
30-05-2015,270
31-05-2015,198
01-06-2015,326
03-06-2015,241
04-06-2015,296
05-06-2015,222
06-06-2015,275
07-06-2015,261
08-06-2015,247
09-06-2015,335
10-06-2015,356
11-06-2015,311
13-06-2015,107
14-06-2015,155
15-06-2015,114
16-06-2015,119
17-06-2015,121
18-06-2015,116
19-06-2015,129
20-06-2015,103
21-06-2015,113
22-06-2015,99
23-06-2015,61
24-06-2015,79
25-06-2015,78
26-06-2015,80
27-06-2015,127
28-06-2015,69
01-07-2015,144
02-07-2015,143
03-07-2015,130
04-07-2015,147
05-07-2015,142
06-07-2015,96
07-07-2015,79
08-07-2015,39
09-07-2015,45
11-07-2015,24
12-07-2015,52
13-07-2015,87
14-07-2015,117
15-07-2015,122
16-07-2015,107
17-07-2015,57
18-07-2015,62
19-07-2015,85
20-07-2015,81
21-07-2015,60
22-07-2015,82
23-07-2015,62
24-07-2015,46
25-07-2015,81
26-07-2015,40
27-07-2015,75
28-07-2015,87
29-07-2015,99
30-07-2015,93
31-07-2015,63
01-08-2015,48
02-08-2015,80
04-08-2015,48
05-08-2015,92
06-08-2015,112
07-08-2015,146
08-08-2015,97
09-08-2015,128
10-08-2015,351
11-08-2015,87
12-08-2015,47
13-08-2015,84
14-08-2015,87
15-08-2015,62
18-08-2015,50
19-08-2015,41
20-08-2015,76
22-08-2015,107
23-08-2015,93
24-08-2015,84
25-08-2015,106
26-08-2015,118
27-08-2015,84
29-08-2015,97
30-08-2015,55
01-09-2015,94
02-09-2015,125
03-09-2015,147
04-09-2015,144
05-09-2015,236
06-09-2015,174
07-09-2015,147
09-09-2015,186
11-09-2015,190
12-09-2015,150
13-09-2015,106
14-09-2015,139
15-09-2015,104
16-09-2015,71
17-09-2015,73
18-09-2015,89
19-09-2015,104
20-09-2015,99
21-09-2015,51
23-09-2015,100
25-09-2015,153
26-09-2015,159
27-09-2015,179
28-09-2015,224
29-09-2015,192
30-09-2015,163
01-10-2015,164
02-10-2015,162
03-10-2015,188
06-10-2015,337
07-10-2015,349
08-10-2015,237
09-10-2015,240
10-10-2015,172
11-10-2015,275
12-10-2015,198
13-10-2015,139
14-10-2015,155
15-10-2015,100
16-10-2015,304
17-10-2015,184
18-10-2015,184
19-10-2015,181
20-10-2015,261
21-10-2015,283
24-10-2015,222
25-10-2015,287
26-10-2015,251
27-10-2015,254
28-10-2015,270
30-10-2015,63
31-10-2015,258
01-11-2015,240
02-11-2015,258
03-11-2015,183
04-11-2015,235
05-11-2015,283
06-11-2015,307
07-11-2015,299
08-11-2015,300
09-11-2015,321
10-11-2015,397
11-11-2015,342
12-11-2015,332
13-11-2015,299
14-11-2015,329
15-11-2015,377
16-11-2015,289
17-11-2015,345
18-11-2015,323
19-11-2015,349
21-11-2015,367
22-11-2015,364
23-11-2015,370
24-11-2015,390
25-11-2015,374
26-11-2015,323
27-11-2015,299
28-11-2015,285
29-11-2015,318
01-12-2015,342
03-12-2015,139
04-12-2015,302
05-12-2015,372
07-12-2015,403
08-12-2015,366
09-12-2015,376
10-12-2015,345
14-12-2015,347
16-12-2015,363
17-12-2015,398
18-12-2015,420
19-12-2015,383
20-12-2015,410
21-12-2015,394
24-12-2015,434
25-12-2015,400
26-12-2015,313
28-12-2015,358
29-12-2015,364
31-12-2015,466
01-01-2016,466
02-01-2016,461
03-01-2016,446
04-01-2016,419
05-01-2016,461
06-01-2016,463
07-01-2016,417
08-01-2016,457
09-01-2016,429
10-01-2016,487
11-01-2016,482
12-01-2016,390
13-01-2016,415
14-01-2016,412
15-01-2016,400
16-01-2016,398
17-01-2016,421
18-01-2016,408
19-01-2016,421
20-01-2016,369
21-01-2016,311
22-01-2016,318
23-01-2016,383
24-01-2016,374
27-01-2016,312
28-01-2016,397
29-01-2016,420
30-01-2016,429
31-01-2016,361
01-02-2016,332
02-02-2016,342
03-02-2016,300
04-02-2016,246
05-02-2016,329
08-02-2016,331
09-02-2016,373
10-02-2016,322
11-02-2016,375
12-02-2016,323
13-02-2016,365
17-02-2016,292
18-02-2016,289
19-02-2016,213
20-02-2016,214
21-02-2016,238
22-02-2016,168
23-02-2016,194
24-02-2016,356
25-02-2016,217
26-02-2016,276
28-02-2016,299
02-03-2016,348
03-03-2016,364
04-03-2016,332
08-03-2016,110
12-03-2016,259
13-03-2016,77
14-03-2016,114
18-03-2016,344
26-03-2016,315
27-03-2016,302
28-03-2016,179
30-03-2016,314
31-03-2016,260
01-04-2016,260
02-04-2016,188
04-04-2016,222
07-04-2016,290
09-04-2016,270
10-04-2016,230
11-04-2016,261
12-04-2016,299
13-04-2016,306
14-04-2016,263
15-04-2016,259
16-04-2016,291
17-04-2016,355
19-04-2016,386
20-04-2016,366
21-04-2016,321
23-04-2016,281
24-04-2016,241
28-04-2016,299
29-04-2016,277
30-04-2016,262
04-05-2016,227
05-05-2016,188
07-05-2016,273
08-05-2016,221
11-05-2016,181
12-05-2016,126
13-05-2016,168
14-05-2016,191
15-05-2016,141
18-05-2016,239
19-05-2016,172
20-05-2016,154
21-05-2016,160
22-05-2016,103
23-05-2016,112
24-05-2016,187
25-05-2016,170
26-05-2016,131
27-05-2016,233
28-05-2016,188
30-05-2016,127
31-05-2016,170
01-06-2016,198
02-06-2016,142
03-06-2016,138
04-06-2016,138
05-06-2016,134
07-06-2016,163
08-06-2016,98
09-06-2016,112
10-06-2016,136
11-06-2016,169
12-06-2016,185
13-06-2016,178
14-06-2016,319
15-06-2016,274
16-06-2016,131
