Date,AQI
06-02-2019,182
07-02-2019,185
08-02-2019,284
09-02-2019,190
10-02-2019,132
11-02-2019,110
12-02-2019,134
13-02-2019,215
14-02-2019,194
15-02-2019,248
16-02-2019,124
17-02-2019,178
18-02-2019,235
19-02-2019,149
20-02-2019,175
21-02-2019,144
22-02-2019,108
23-02-2019,107
24-02-2019,176
25-02-2019,164
26-02-2019,166
27-02-2019,162
28-02-2019,107
01-03-2019,129
02-03-2019,163
03-03-2019,193
06-03-2019,158
07-03-2019,189
08-03-2019,182
09-03-2019,191
10-03-2019,140
11-03-2019,136
13-03-2019,189
14-03-2019,150
15-03-2019,128
16-03-2019,142
17-03-2019,143
18-03-2019,115
19-03-2019,143
20-03-2019,164
21-03-2019,107
22-03-2019,117
23-03-2019,140
24-03-2019,207
25-03-2019,135
27-03-2019,183
28-03-2019,252
29-03-2019,195
30-03-2019,180
31-03-2019,174
01-04-2019,154
02-04-2019,224
03-04-2019,213
04-04-2019,177
05-04-2019,176
06-04-2019,138
07-04-2019,154
08-04-2019,135
09-04-2019,145
10-04-2019,122
11-04-2019,171
12-04-2019,152
13-04-2019,129
14-04-2019,143
15-04-2019,158
16-04-2019,366
17-04-2019,147
18-04-2019,118
19-04-2019,115
20-04-2019,221
21-04-2019,142
22-04-2019,259
23-04-2019,196
24-04-2019,162
25-04-2019,109
26-04-2019,132
27-04-2019,137
28-04-2019,153
29-04-2019,144
30-04-2019,155
01-05-2019,219
02-05-2019,170
03-05-2019,133
04-05-2019,129
05-05-2019,126
06-05-2019,118
07-05-2019,124
08-05-2019,121
11-05-2019,206
12-05-2019,160
13-05-2019,146
14-05-2019,140
15-05-2019,127
17-05-2019,109
18-05-2019,105
19-05-2019,101
20-05-2019,90
21-05-2019,112
22-05-2019,113
23-05-2019,114
24-05-2019,128
25-05-2019,132
26-05-2019,128
27-05-2019,138
28-05-2019,127
29-05-2019,112
30-05-2019,127
31-05-2019,119
01-06-2019,111
02-06-2019,112
03-06-2019,112
04-06-2019,112
05-06-2019,109
06-06-2019,119
07-06-2019,114
08-06-2019,117
09-06-2019,119
11-06-2019,98
12-06-2019,114
13-06-2019,83
14-06-2019,92
15-06-2019,92
16-06-2019,104
17-06-2019,101
18-06-2019,88
19-06-2019,79
20-06-2019,102
21-06-2019,109
22-06-2019,112
23-06-2019,103
24-06-2019,84
25-06-2019,101
26-06-2019,113
27-06-2019,96
28-06-2019,98
29-06-2019,90
30-06-2019,115
01-07-2019,90
02-07-2019,106
03-07-2019,97
04-07-2019,112
05-07-2019,120
06-07-2019,105
07-07-2019,102
08-07-2019,98
11-07-2019,122
12-07-2019,115
13-07-2019,129
14-07-2019,104
15-07-2019,113
16-07-2019,103
17-07-2019,101
18-07-2019,94
19-07-2019,95
20-07-2019,111
21-07-2019,115
22-07-2019,98
24-07-2019,145
25-07-2019,112
26-07-2019,152
27-07-2019,151
28-07-2019,135
29-07-2019,122
30-07-2019,115
31-07-2019,128
01-08-2019,120
02-08-2019,115
03-08-2019,115
04-08-2019,109
05-08-2019,120
06-08-2019,99
07-08-2019,107
08-08-2019,149
09-08-2019,137
10-08-2019,112
11-08-2019,113
12-08-2019,103
13-08-2019,99
14-08-2019,101
15-08-2019,83
16-08-2019,77
17-08-2019,135
18-08-2019,91
19-08-2019,81
20-08-2019,92
21-08-2019,119
22-08-2019,165
23-08-2019,149
24-08-2019,92
25-08-2019,69
26-08-2019,103
27-08-2019,112
28-08-2019,98
29-08-2019,90
30-08-2019,93
31-08-2019,93
01-09-2019,85
02-09-2019,72
03-09-2019,80
04-09-2019,94
05-09-2019,70
06-09-2019,51
07-09-2019,70
08-09-2019,47
09-09-2019,65
10-09-2019,67
11-09-2019,56
12-09-2019,75
13-09-2019,83
14-09-2019,93
15-09-2019,102
16-09-2019,103
17-09-2019,109
18-09-2019,133
19-09-2019,108
20-09-2019,61
21-09-2019,41
22-09-2019,62
23-09-2019,81
24-09-2019,66
25-09-2019,118
26-09-2019,153
27-09-2019,52
28-09-2019,56
29-09-2019,48
30-09-2019,48
01-10-2019,63
02-10-2019,97
03-10-2019,108
04-10-2019,120
06-10-2019,96
07-10-2019,100
08-10-2019,102
09-10-2019,109
10-10-2019,155
11-10-2019,133
12-10-2019,166
13-10-2019,170
14-10-2019,184
15-10-2019,208
16-10-2019,190
17-10-2019,205
18-10-2019,205
19-10-2019,127
20-10-2019,126
21-10-2019,105
22-10-2019,117
23-10-2019,104
24-10-2019,107
25-10-2019,168
26-10-2019,163
27-10-2019,107
28-10-2019,77
29-10-2019,61
30-10-2019,46
31-10-2019,67
01-11-2019,98
02-11-2019,114
03-11-2019,62
04-11-2019,140
05-11-2019,149
06-11-2019,212
07-11-2019,148
08-11-2019,106
09-11-2019,136
10-11-2019,186
11-11-2019,162
12-11-2019,205
13-11-2019,173
14-11-2019,160
15-11-2019,152
16-11-2019,194
17-11-2019,209
18-11-2019,214
19-11-2019,228
20-11-2019,145
21-11-2019,160
22-11-2019,129
23-11-2019,178
24-11-2019,203
25-11-2019,211
26-11-2019,213
27-11-2019,227
28-11-2019,146
29-11-2019,147
01-12-2019,136
02-12-2019,134
03-12-2019,148
04-12-2019,129
05-12-2019,123
06-12-2019,145
07-12-2019,161
08-12-2019,182
09-12-2019,201
10-12-2019,256
11-12-2019,302
12-12-2019,337
13-12-2019,172
14-12-2019,118
15-12-2019,144
16-12-2019,112
17-12-2019,123
18-12-2019,118
19-12-2019,146
20-12-2019,240
21-12-2019,203
22-12-2019,173
23-12-2019,136
24-12-2019,145
25-12-2019,132
26-12-2019,148
27-12-2019,141
28-12-2019,92
29-12-2019,114
30-12-2019,156
31-12-2019,181
01-01-2020,246
02-01-2020,267
03-01-2020,235
04-01-2020,282
05-01-2020,160
06-01-2020,105
07-01-2020,178
08-01-2020,239
09-01-2020,106
10-01-2020,132
11-01-2020,109
12-01-2020,160
13-01-2020,246
15-01-2020,89
17-01-2020,147
18-01-2020,217
19-01-2020,149
20-01-2020,110
21-01-2020,158
22-01-2020,178
23-01-2020,169
24-01-2020,118
25-01-2020,178
26-01-2020,318
27-01-2020,295
28-01-2020,155
29-01-2020,155
30-01-2020,237
31-01-2020,191
01-02-2020,155
02-02-2020,128
04-02-2020,194
05-02-2020,154
06-02-2020,144
07-02-2020,128
08-02-2020,153
09-02-2020,139
10-02-2020,112
11-02-2020,164
12-02-2020,171
13-02-2020,261
14-02-2020,179
15-02-2020,188
16-02-2020,184
17-02-2020,130
18-02-2020,226
19-02-2020,241
20-02-2020,198
21-02-2020,240
22-02-2020,148
23-02-2020,185
24-02-2020,166
25-02-2020,261
26-02-2020,297
27-02-2020,283
28-02-2020,231
29-02-2020,201
03-03-2020,193
04-03-2020,138
05-03-2020,126
06-03-2020,118
07-03-2020,176
08-03-2020,163
09-03-2020,86
10-03-2020,116
11-03-2020,90
12-03-2020,109
13-03-2020,125
14-03-2020,111
15-03-2020,115
16-03-2020,58
18-03-2020,180
19-03-2020,172
20-03-2020,110
21-03-2020,105
22-03-2020,110
23-03-2020,118
24-03-2020,82
25-03-2020,72
26-03-2020,83
27-03-2020,47
28-03-2020,64
29-03-2020,53
31-03-2020,68
01-04-2020,43
02-04-2020,50
03-04-2020,60
04-04-2020,69
05-04-2020,94
06-04-2020,75
07-04-2020,64
08-04-2020,68
09-04-2020,61
10-04-2020,56
12-04-2020,71
13-04-2020,48
21-04-2020,69
22-04-2020,77
23-04-2020,77
24-04-2020,76
25-04-2020,58
26-04-2020,78
27-04-2020,53
28-04-2020,72
29-04-2020,72
30-04-2020,83
01-05-2020,89
02-05-2020,60
03-05-2020,80
04-05-2020,75
05-05-2020,70
06-05-2020,49
07-05-2020,73
08-05-2020,70
09-05-2020,72
10-05-2020,53
11-05-2020,53
12-05-2020,54
13-05-2020,51
14-05-2020,53
15-05-2020,63
16-05-2020,71
17-05-2020,81
18-05-2020,63
19-05-2020,73
20-05-2020,88
21-05-2020,84
22-05-2020,106
23-05-2020,92
24-05-2020,86
25-05-2020,76
26-05-2020,88
27-05-2020,93
28-05-2020,82
29-05-2020,102
30-05-2020,89
31-05-2020,74
01-06-2020,69
02-06-2020,69
03-06-2020,80
04-06-2020,86
05-06-2020,78
06-06-2020,82
07-06-2020,73
08-06-2020,55
09-06-2020,62
10-06-2020,80
11-06-2020,68
12-06-2020,70
13-06-2020,70
14-06-2020,71
15-06-2020,45
16-06-2020,54
17-06-2020,93
18-06-2020,84
19-06-2020,66
20-06-2020,67
21-06-2020,55
22-06-2020,65
23-06-2020,61
24-06-2020,63
25-06-2020,57
26-06-2020,62
28-06-2020,82
29-06-2020,85
30-06-2020,68
01-07-2020,61
02-07-2020,55
03-07-2020,55
04-07-2020,67
05-07-2020,78
06-07-2020,46
07-07-2020,41
08-07-2020,58
09-07-2020,65
10-07-2020,44
11-07-2020,46
13-07-2020,52
14-07-2020,70
15-07-2020,83
16-07-2020,62
17-07-2020,56
18-07-2020,67
19-07-2020,67
20-07-2020,60
21-07-2020,66
22-07-2020,97
23-07-2020,85
24-07-2020,123
25-07-2020,92
26-07-2020,71
27-07-2020,57
28-07-2020,78
29-07-2020,99
30-07-2020,98
31-07-2020,88
01-08-2020,73
02-08-2020,67
03-08-2020,47
04-08-2020,52
05-08-2020,77
06-08-2020,87
07-08-2020,87
08-08-2020,124
09-08-2020,79
10-08-2020,118
11-08-2020,90
12-08-2020,57
13-08-2020,52
14-08-2020,50
15-08-2020,65
16-08-2020,63
17-08-2020,74
18-08-2020,73
19-08-2020,70
21-08-2020,80
22-08-2020,82
23-08-2020,65
24-08-2020,66
25-08-2020,72
26-08-2020,95
27-08-2020,114
28-08-2020,79
29-08-2020,86
30-08-2020,82
31-08-2020,61
01-09-2020,93
02-09-2020,109
03-09-2020,157
04-09-2020,145
05-09-2020,122
06-09-2020,130
07-09-2020,93
08-09-2020,110
09-09-2020,104
10-09-2020,150
11-09-2020,107
12-09-2020,68
13-09-2020,51
14-09-2020,59
15-09-2020,88
16-09-2020,102
17-09-2020,116
18-09-2020,120
19-09-2020,121
20-09-2020,182
21-09-2020,141
22-09-2020,138
23-09-2020,124
24-09-2020,114
25-09-2020,124
26-09-2020,113
27-09-2020,124
28-09-2020,109
29-09-2020,130
30-09-2020,144
01-10-2020,138
02-10-2020,114
03-10-2020,114
04-10-2020,126
05-10-2020,134
06-10-2020,125
07-10-2020,144
08-10-2020,185
09-10-2020,147
10-10-2020,185
11-10-2020,190
12-10-2020,159
13-10-2020,189
14-10-2020,177
15-10-2020,145
16-10-2020,96
17-10-2020,83
18-10-2020,89
19-10-2020,91
20-10-2020,113
21-10-2020,130
22-10-2020,97
23-10-2020,118
24-10-2020,237
25-10-2020,120
26-10-2020,111
27-10-2020,142
28-10-2020,135
29-10-2020,157
30-10-2020,157
31-10-2020,137
01-11-2020,151
05-11-2020,183
06-11-2020,260
