Date,AQI
28-08-2022,35
29-08-2022,33
31-08-2022,50
02-09-2022,39
03-09-2022,55
04-09-2022,57
05-09-2022,41
06-09-2022,44
07-09-2022,46
10-09-2022,40
11-09-2022,34
12-09-2022,43
13-09-2022,45
14-09-2022,58
15-09-2022,54
16-09-2022,61
17-09-2022,60
22-10-2022,62
23-10-2022,82
25-10-2022,117
26-10-2022,140
27-10-2022,78
29-10-2022,52
30-10-2022,77
31-10-2022,96
01-11-2022,102
02-11-2022,20
03-11-2022,36
04-11-2022,40
05-11-2022,43
06-11-2022,66
08-11-2022,96
09-11-2022,99
10-11-2022,86
15-11-2022,44
16-11-2022,131
17-11-2022,144
18-11-2022,122
22-11-2022,83
23-11-2022,39
24-11-2022,54
25-11-2022,106
08-12-2022,168
14-12-2022,49
20-12-2022,94
21-12-2022,96
22-12-2022,92
28-12-2022,67
29-12-2022,65
31-12-2022,85
02-01-2023,90
03-01-2023,89
05-01-2023,86
06-01-2023,103
12-01-2023,98
13-01-2023,99
14-01-2023,161
15-01-2023,84
18-01-2023,61
19-01-2023,116
22-01-2023,79
24-01-2023,67
28-01-2023,89
29-01-2023,127
30-01-2023,103
31-01-2023,90
01-02-2023,97
04-02-2023,107
07-02-2023,108
08-02-2023,97
09-02-2023,110
10-02-2023,80
11-02-2023,87
14-02-2023,107
15-02-2023,101
10-03-2023,92
11-03-2023,99
12-03-2023,81
14-03-2023,99
17-03-2023,53
18-03-2023,43
21-03-2023,32
22-03-2023,43
23-03-2023,46
24-03-2023,56
26-03-2023,42
04-11-2023,31
07-11-2023,39
08-11-2023,39
09-11-2023,73
11-11-2023,113
12-11-2023,157
13-11-2023,244
15-11-2023,102
16-11-2023,162
17-11-2023,121
19-11-2023,47
20-11-2023,55
22-11-2023,32
24-11-2023,54
25-11-2023,44
29-11-2023,38
01-12-2023,34
02-12-2023,74
05-12-2023,30
06-12-2023,73
09-12-2023,74
10-12-2023,59
11-12-2023,68
12-12-2023,64
14-12-2023,97
15-12-2023,125
19-12-2023,160
20-12-2023,195
22-12-2023,235
23-12-2023,216
24-12-2023,194
