Date,AQI
21-01-2020,64
22-01-2020,71
23-01-2020,56
24-01-2020,54
25-01-2020,65
26-01-2020,64
29-01-2020,102
30-01-2020,71
31-01-2020,79
01-02-2020,88
02-02-2020,79
03-02-2020,80
04-02-2020,81
05-02-2020,72
08-02-2020,118
09-02-2020,94
10-02-2020,78
11-02-2020,83
12-02-2020,61
13-02-2020,73
15-02-2020,166
18-02-2020,129
19-02-2020,133
20-02-2020,108
21-02-2020,98
22-02-2020,74
23-02-2020,77
24-02-2020,67
25-02-2020,116
26-02-2020,167
27-02-2020,168
28-02-2020,107
29-02-2020,95
01-03-2020,97
02-03-2020,76
03-03-2020,81
04-03-2020,92
05-03-2020,86
10-03-2020,69
11-03-2020,57
12-03-2020,50
14-03-2020,62
15-03-2020,69
16-03-2020,68
17-03-2020,70
18-03-2020,70
19-03-2020,169
20-03-2020,111
21-03-2020,101
22-03-2020,121
23-03-2020,92
24-03-2020,88
25-03-2020,113
30-05-2020,71
31-05-2020,72
01-06-2020,71
05-06-2020,94
06-06-2020,169
07-06-2020,118
08-06-2020,142
09-06-2020,157
10-06-2020,60
15-06-2020,55
16-06-2020,37
17-06-2020,33
18-06-2020,35
19-06-2020,52
20-06-2020,94
21-06-2020,36
22-06-2020,58
23-06-2020,37
24-06-2020,40
25-06-2020,33
26-06-2020,44
27-06-2020,45
28-06-2020,40
29-06-2020,57
30-06-2020,34
01-07-2020,34
02-07-2020,34
03-07-2020,35
04-07-2020,34
05-07-2020,34
06-07-2020,40
07-07-2020,54
08-07-2020,81
09-07-2020,39
14-07-2020,51
15-07-2020,46
16-07-2020,49
17-07-2020,67
18-07-2020,43
19-07-2020,36
20-07-2020,35
21-07-2020,39
22-07-2020,45
23-07-2020,36
24-07-2020,51
25-07-2020,51
26-07-2020,68
27-07-2020,49
28-07-2020,42
29-07-2020,55
30-07-2020,40
01-08-2020,68
02-08-2020,77
03-08-2020,78
04-08-2020,107
05-08-2020,83
06-08-2020,106
07-08-2020,101
08-08-2020,85
09-08-2020,67
10-08-2020,65
11-08-2020,71
12-08-2020,94
13-08-2020,75
14-08-2020,111
15-08-2020,83
16-08-2020,61
17-08-2020,68
18-08-2020,49
19-08-2020,36
20-08-2020,46
21-08-2020,69
22-08-2020,67
23-08-2020,64
24-08-2020,60
25-08-2020,50
26-08-2020,38
29-08-2020,60
30-08-2020,50
31-08-2020,47
01-09-2020,42
02-09-2020,42
03-09-2020,44
19-09-2020,48
20-09-2020,40
21-09-2020,77
22-09-2020,68
23-09-2020,91
24-09-2020,62
25-09-2020,58
26-09-2020,30
27-09-2020,37
28-09-2020,46
29-09-2020,51
30-09-2020,54
01-10-2020,52
02-10-2020,55
03-10-2020,59
04-10-2020,68
05-10-2020,53
06-10-2020,60
07-10-2020,72
08-10-2020,82
09-10-2020,67
10-10-2020,49
11-10-2020,47
12-10-2020,41
13-10-2020,45
14-10-2020,45
15-10-2020,49
16-10-2020,61
17-10-2020,61
18-10-2020,48
19-10-2020,41
20-10-2020,50
21-10-2020,53
22-10-2020,63
24-10-2020,71
25-10-2020,68
26-10-2020,70
27-10-2020,69
28-10-2020,74
29-10-2020,71
30-10-2020,76
31-10-2020,81
04-11-2020,95
05-11-2020,87
06-11-2020,88
07-11-2020,116
08-11-2020,82
09-11-2020,106
10-11-2020,131
11-11-2020,151
12-11-2020,87
13-11-2020,41
14-11-2020,39
15-11-2020,49
16-11-2020,44
17-11-2020,38
18-11-2020,39
19-11-2020,37
20-11-2020,40
21-11-2020,57
22-11-2020,52
23-11-2020,58
24-11-2020,61
25-11-2020,66
26-11-2020,85
27-11-2020,57
28-11-2020,48
29-11-2020,39
30-11-2020,42
01-12-2020,49
02-12-2020,59
03-12-2020,73
04-12-2020,74
05-12-2020,63
06-12-2020,79
07-12-2020,64
08-12-2020,54
09-12-2020,52
10-12-2020,68
11-12-2020,61
12-12-2020,58
13-12-2020,62
14-12-2020,62
15-12-2020,60
16-12-2020,60
17-12-2020,62
18-12-2020,57
19-12-2020,65
20-12-2020,99
21-12-2020,83
22-12-2020,71
23-12-2020,63
24-12-2020,56
25-12-2020,58
26-12-2020,62
30-12-2020,63
31-12-2020,51
01-01-2021,61
02-01-2021,69
03-01-2021,62
04-01-2021,50
05-01-2021,38
06-01-2021,50
07-01-2021,44
08-01-2021,42
09-01-2021,44
10-01-2021,48
11-01-2021,58
12-01-2021,72
13-01-2021,60
14-01-2021,60
15-01-2021,52
16-01-2021,57
17-01-2021,55
18-01-2021,57
19-01-2021,55
20-01-2021,83
21-01-2021,88
22-01-2021,91
23-01-2021,58
24-01-2021,62
25-01-2021,56
27-01-2021,60
28-01-2021,54
29-01-2021,48
30-01-2021,63
31-01-2021,50
01-02-2021,59
02-02-2021,50
03-02-2021,54
06-02-2021,46
09-02-2021,47
10-02-2021,46
11-02-2021,45
12-02-2021,43
13-02-2021,45
14-02-2021,44
15-02-2021,60
16-02-2021,77
17-02-2021,71
18-02-2021,63
19-02-2021,63
20-02-2021,62
21-02-2021,60
22-02-2021,43
23-02-2021,52
24-02-2021,40
26-02-2021,57
27-02-2021,87
28-02-2021,78
01-03-2021,77
02-03-2021,77
03-03-2021,69
04-03-2021,63
05-03-2021,61
06-03-2021,60
09-03-2021,47
10-03-2021,42
11-03-2021,52
12-03-2021,55
13-03-2021,79
14-03-2021,49
15-03-2021,48
17-03-2021,69
18-03-2021,83
19-03-2021,75
20-03-2021,55
21-03-2021,44
22-03-2021,45
23-03-2021,61
24-03-2021,50
25-03-2021,65
26-03-2021,60
27-03-2021,62
28-03-2021,67
29-03-2021,66
30-03-2021,66
31-03-2021,59
01-04-2021,49
02-04-2021,62
03-04-2021,57
04-04-2021,50
05-04-2021,68
08-04-2021,62
09-04-2021,63
10-04-2021,61
11-04-2021,68
12-04-2021,54
13-04-2021,48
14-04-2021,46
15-04-2021,46
16-04-2021,51
30-04-2021,51
01-05-2021,60
02-05-2021,59
04-05-2021,45
05-05-2021,53
22-05-2021,47
05-06-2021,40
06-06-2021,47
07-06-2021,50
08-06-2021,59
09-06-2021,45
10-06-2021,47
11-06-2021,52
12-06-2021,61
13-06-2021,48
14-06-2021,54
15-06-2021,43
16-06-2021,48
17-06-2021,56
18-06-2021,68
19-06-2021,49
20-06-2021,47
21-06-2021,60
22-06-2021,48
23-06-2021,61
24-06-2021,57
25-06-2021,51
26-06-2021,55
27-06-2021,9
28-06-2021,51
29-06-2021,53
30-06-2021,48
01-07-2021,46
02-07-2021,50
03-07-2021,44
04-07-2021,43
05-07-2021,43
06-07-2021,46
07-07-2021,47
08-07-2021,73
09-07-2021,96
10-07-2021,103
11-07-2021,93
12-07-2021,49
13-07-2021,59
14-07-2021,86
15-07-2021,90
03-08-2021,56
04-08-2021,50
05-08-2021,50
06-08-2021,53
07-08-2021,55
08-08-2021,53
09-08-2021,52
11-08-2021,47
13-08-2021,54
14-08-2021,49
15-08-2021,48
16-08-2021,50
17-08-2021,60
18-08-2021,47
19-08-2021,54
20-08-2021,53
21-08-2021,48
22-08-2021,53
06-09-2021,76
07-09-2021,73
08-09-2021,58
10-09-2021,55
11-09-2021,42
12-09-2021,62
13-09-2021,54
14-09-2021,61
15-09-2021,64
16-09-2021,68
17-09-2021,64
18-09-2021,61
19-09-2021,61
20-09-2021,59
21-09-2021,46
22-09-2021,67
23-09-2021,75
24-09-2021,75
25-09-2021,93
26-09-2021,46
27-09-2021,83
28-09-2021,80
