Date,AQI
03-05-2017,64
04-05-2017,53
05-05-2017,75
06-05-2017,50
07-05-2017,56
08-05-2017,55
09-05-2017,84
10-05-2017,64
11-05-2017,77
12-05-2017,51
13-05-2017,45
14-05-2017,71
15-05-2017,90
16-05-2017,101
17-05-2017,110
18-05-2017,168
07-06-2017,112
09-06-2017,63
10-06-2017,83
11-06-2017,47
12-06-2017,45
13-06-2017,52
14-06-2017,67
19-06-2017,40
20-06-2017,46
21-06-2017,54
22-06-2017,211
23-06-2017,55
24-06-2017,67
25-06-2017,108
26-06-2017,56
27-06-2017,49
28-06-2017,68
29-06-2017,121
30-06-2017,116
05-07-2017,128
06-07-2017,177
08-07-2017,68
09-07-2017,76
11-07-2017,50
14-07-2017,38
15-07-2017,89
16-07-2017,88
18-07-2017,245
19-07-2017,39
22-07-2017,96
23-07-2017,104
24-07-2017,77
25-07-2017,77
26-07-2017,85
29-07-2017,94
01-08-2017,69
05-08-2017,72
06-08-2017,94
07-08-2017,93
08-08-2017,57
09-08-2017,53
10-08-2017,67
11-08-2017,76
17-08-2017,108
18-08-2017,62
30-08-2017,56
02-09-2017,104
03-09-2017,57
04-09-2017,67
05-09-2017,66
06-09-2017,68
07-09-2017,88
09-09-2017,68
12-09-2017,60
13-09-2017,51
14-09-2017,55
15-09-2017,64
16-09-2017,54
19-09-2017,56
20-09-2017,57
21-09-2017,63
22-09-2017,63
24-09-2017,91
25-09-2017,80
26-09-2017,65
27-09-2017,96
28-09-2017,88
29-09-2017,82
30-09-2017,79
02-10-2017,81
03-10-2017,71
05-10-2017,75
06-10-2017,71
07-10-2017,56
10-10-2017,64
11-10-2017,56
12-10-2017,60
13-10-2017,64
15-10-2017,78
16-10-2017,74
17-10-2017,115
18-10-2017,95
20-10-2017,235
21-10-2017,134
22-10-2017,91
23-10-2017,81
24-10-2017,85
25-10-2017,77
26-10-2017,85
27-10-2017,84
28-10-2017,83
29-10-2017,81
30-10-2017,105
31-10-2017,116
01-11-2017,93
02-11-2017,87
03-11-2017,103
04-11-2017,82
05-11-2017,67
06-11-2017,66
07-11-2017,76
08-11-2017,84
09-11-2017,96
10-11-2017,95
11-11-2017,112
13-11-2017,100
14-11-2017,81
15-11-2017,73
16-11-2017,79
17-11-2017,85
18-11-2017,93
19-11-2017,90
21-11-2017,79
22-11-2017,107
23-11-2017,124
24-11-2017,106
25-11-2017,102
26-11-2017,93
27-11-2017,114
28-11-2017,86
29-11-2017,98
30-11-2017,106
01-12-2017,102
02-12-2017,89
03-12-2017,68
04-12-2017,83
05-12-2017,86
06-12-2017,95
07-12-2017,99
08-12-2017,65
09-12-2017,78
10-12-2017,84
11-12-2017,80
12-12-2017,65
13-12-2017,73
14-12-2017,65
15-12-2017,59
16-12-2017,71
17-12-2017,67
18-12-2017,108
19-12-2017,86
20-12-2017,66
21-12-2017,64
22-12-2017,77
23-12-2017,73
24-12-2017,76
25-12-2017,81
26-12-2017,88
28-12-2017,103
29-12-2017,93
30-12-2017,93
31-12-2017,83
01-01-2018,98
02-01-2018,85
03-01-2018,82
04-01-2018,116
05-01-2018,156
06-01-2018,126
07-01-2018,92
08-01-2018,91
09-01-2018,90
10-01-2018,84
11-01-2018,87
12-01-2018,93
13-01-2018,84
14-01-2018,129
15-01-2018,90
16-01-2018,74
17-01-2018,109
18-01-2018,116
19-01-2018,100
20-01-2018,72
