Date,AQI
12-07-2016,66
13-07-2016,80
14-07-2016,90
15-07-2016,108
16-07-2016,103
17-07-2016,94
18-07-2016,96
19-07-2016,93
20-07-2016,114
26-07-2016,66
27-07-2016,80
28-07-2016,71
29-07-2016,66
30-07-2016,91
31-07-2016,69
01-08-2016,67
02-08-2016,54
03-08-2016,48
05-08-2016,72
06-08-2016,86
07-08-2016,86
08-08-2016,93
09-08-2016,97
10-08-2016,98
11-08-2016,92
12-08-2016,99
13-08-2016,105
14-08-2016,96
15-08-2016,80
16-08-2016,76
17-08-2016,89
18-08-2016,101
19-08-2016,101
20-08-2016,99
21-08-2016,106
22-08-2016,106
23-08-2016,101
24-08-2016,87
25-08-2016,78
26-08-2016,82
27-08-2016,62
28-08-2016,47
29-08-2016,53
30-08-2016,49
31-08-2016,80
01-09-2016,61
02-09-2016,65
03-09-2016,58
06-09-2016,91
07-09-2016,96
08-09-2016,98
09-09-2016,96
10-09-2016,109
11-09-2016,228
12-09-2016,85
13-09-2016,48
14-09-2016,56
15-09-2016,46
16-09-2016,55
17-09-2016,56
18-09-2016,89
21-09-2016,34
22-09-2016,37
23-09-2016,54
24-09-2016,62
25-09-2016,58
26-09-2016,63
27-09-2016,107
28-09-2016,141
29-09-2016,123
30-09-2016,101
01-10-2016,82
02-10-2016,151
03-10-2016,103
04-10-2016,98
05-10-2016,96
06-10-2016,106
07-10-2016,75
08-10-2016,91
09-10-2016,93
10-10-2016,88
18-10-2016,131
19-10-2016,127
20-10-2016,121
21-10-2016,126
22-10-2016,128
23-10-2016,114
24-10-2016,126
25-10-2016,127
26-10-2016,116
27-10-2016,104
28-10-2016,68
29-10-2016,90
30-10-2016,74
31-10-2016,96
01-11-2016,131
02-11-2016,74
03-11-2016,61
04-11-2016,39
05-11-2016,38
06-11-2016,76
07-11-2016,127
08-11-2016,133
09-11-2016,121
10-11-2016,109
11-11-2016,131
12-11-2016,115
13-11-2016,137
14-11-2016,155
15-11-2016,146
16-11-2016,132
17-11-2016,156
18-11-2016,143
19-11-2016,120
20-11-2016,109
21-11-2016,132
22-11-2016,117
23-11-2016,119
24-11-2016,105
25-11-2016,77
26-11-2016,121
27-11-2016,100
28-11-2016,129
29-11-2016,114
30-11-2016,123
01-12-2016,154
02-12-2016,80
03-12-2016,76
04-12-2016,108
05-12-2016,139
06-12-2016,84
07-12-2016,85
08-12-2016,96
09-12-2016,122
10-12-2016,119
11-12-2016,101
12-12-2016,83
13-12-2016,90
14-12-2016,109
15-12-2016,154
16-12-2016,111
17-12-2016,133
18-12-2016,105
19-12-2016,117
20-12-2016,104
21-12-2016,119
22-12-2016,119
23-12-2016,130
25-12-2016,130
27-12-2016,134
28-12-2016,110
29-12-2016,104
30-12-2016,98
31-12-2016,109
01-01-2017,149
03-01-2017,99
04-01-2017,128
05-01-2017,122
06-01-2017,152
07-01-2017,97
08-01-2017,90
09-01-2017,108
10-01-2017,109
11-01-2017,107
12-01-2017,118
13-01-2017,126
14-01-2017,147
15-01-2017,149
16-01-2017,127
17-01-2017,155
18-01-2017,122
19-01-2017,155
20-01-2017,163
21-01-2017,228
22-01-2017,138
23-01-2017,126
24-01-2017,104
26-01-2017,164
27-01-2017,152
28-01-2017,185
29-01-2017,157
30-01-2017,160
31-01-2017,218
01-02-2017,219
02-02-2017,147
03-02-2017,191
04-02-2017,214
05-02-2017,216
06-02-2017,204
07-02-2017,141
08-02-2017,203
09-02-2017,255
10-02-2017,208
11-02-2017,161
12-02-2017,93
13-02-2017,102
14-02-2017,105
15-02-2017,138
16-02-2017,217
17-02-2017,149
18-02-2017,206
19-02-2017,142
20-02-2017,184
21-02-2017,129
22-02-2017,104
23-02-2017,95
24-02-2017,114
25-02-2017,85
26-02-2017,136
27-02-2017,133
28-02-2017,127
01-03-2017,186
02-03-2017,131
03-03-2017,156
04-03-2017,124
05-03-2017,74
06-03-2017,47
07-03-2017,66
08-03-2017,40
09-03-2017,48
10-03-2017,65
11-03-2017,43
12-03-2017,76
13-03-2017,84
14-03-2017,94
15-03-2017,61
16-03-2017,62
17-03-2017,91
18-03-2017,83
19-03-2017,107
20-03-2017,103
21-03-2017,96
22-03-2017,82
23-03-2017,98
24-03-2017,114
29-03-2017,87
30-03-2017,88
31-03-2017,90
01-04-2017,105
02-04-2017,104
04-04-2017,86
05-04-2017,88
06-04-2017,99
07-04-2017,93
09-04-2017,81
11-04-2017,75
12-04-2017,90
13-04-2017,106
14-04-2017,96
15-04-2017,99
16-04-2017,84
17-04-2017,86
18-04-2017,95
19-04-2017,115
20-04-2017,116
21-04-2017,122
22-04-2017,130
23-04-2017,114
24-04-2017,100
25-04-2017,118
26-04-2017,500
27-04-2017,123
28-04-2017,120
29-04-2017,109
30-04-2017,113
02-05-2017,82
03-05-2017,110
04-05-2017,130
05-05-2017,88
06-05-2017,82
07-05-2017,122
08-05-2017,68
09-05-2017,114
10-05-2017,112
11-05-2017,212
12-05-2017,64
13-05-2017,103
14-05-2017,153
15-05-2017,277
16-05-2017,126
17-05-2017,127
18-05-2017,113
19-05-2017,87
20-05-2017,86
21-05-2017,97
22-05-2017,87
23-05-2017,103
24-05-2017,72
27-05-2017,76
28-05-2017,143
29-05-2017,115
30-05-2017,119
31-05-2017,114
01-06-2017,88
02-06-2017,71
04-06-2017,57
05-06-2017,87
06-06-2017,83
07-06-2017,114
08-06-2017,85
09-06-2017,112
10-06-2017,96
11-06-2017,90
12-06-2017,71
13-06-2017,72
14-06-2017,70
15-06-2017,280
16-06-2017,63
17-06-2017,66
19-06-2017,100
20-06-2017,89
21-06-2017,151
22-06-2017,98
23-06-2017,102
24-06-2017,123
25-06-2017,80
26-06-2017,64
27-06-2017,76
28-06-2017,68
29-06-2017,73
30-06-2017,91
01-07-2017,75
02-07-2017,83
03-07-2017,100
04-07-2017,103
05-07-2017,125
06-07-2017,134
07-07-2017,112
08-07-2017,110
09-07-2017,70
10-07-2017,268
11-07-2017,201
12-07-2017,52
13-07-2017,146
14-07-2017,176
15-07-2017,67
16-07-2017,73
17-07-2017,70
18-07-2017,45
19-07-2017,62
20-07-2017,280
21-07-2017,95
22-07-2017,86
23-07-2017,82
24-07-2017,124
25-07-2017,109
26-07-2017,113
27-07-2017,97
28-07-2017,74
29-07-2017,123
30-07-2017,175
31-07-2017,249
01-08-2017,203
02-08-2017,246
03-08-2017,79
04-08-2017,99
05-08-2017,80
06-08-2017,105
07-08-2017,128
08-08-2017,132
09-08-2017,118
10-08-2017,208
11-08-2017,90
12-08-2017,87
13-08-2017,82
14-08-2017,107
15-08-2017,312
16-08-2017,289
17-08-2017,98
18-08-2017,91
19-08-2017,224
20-08-2017,67
21-08-2017,75
22-08-2017,288
23-08-2017,76
24-08-2017,79
25-08-2017,78
26-08-2017,85
27-08-2017,91
28-08-2017,83
29-08-2017,67
30-08-2017,84
31-08-2017,74
01-09-2017,93
02-09-2017,146
03-09-2017,134
04-09-2017,97
05-09-2017,97
06-09-2017,140
07-09-2017,82
08-09-2017,68
09-09-2017,58
10-09-2017,46
11-09-2017,42
12-09-2017,39
13-09-2017,56
14-09-2017,53
15-09-2017,53
16-09-2017,94
17-09-2017,69
18-09-2017,63
19-09-2017,80
20-09-2017,79
21-09-2017,81
22-09-2017,70
23-09-2017,81
24-09-2017,106
25-09-2017,83
26-09-2017,79
27-09-2017,91
28-09-2017,45
29-09-2017,31
30-09-2017,47
01-10-2017,69
02-10-2017,72
03-10-2017,64
04-10-2017,76
05-10-2017,51
06-10-2017,36
07-10-2017,64
08-10-2017,47
09-10-2017,48
10-10-2017,47
11-10-2017,73
12-10-2017,80
13-10-2017,67
15-10-2017,64
16-10-2017,73
17-10-2017,103
18-10-2017,116
19-10-2017,111
20-10-2017,222
