Date,AQI
03-08-2021,29
04-08-2021,21
05-08-2021,35
06-08-2021,53
07-08-2021,57
08-08-2021,32
09-08-2021,29
10-08-2021,42
11-08-2021,95
12-08-2021,81
13-08-2021,88
14-08-2021,87
15-08-2021,88
16-08-2021,99
17-08-2021,122
18-08-2021,138
19-08-2021,129
20-08-2021,79
21-08-2021,23
22-08-2021,28
23-08-2021,35
24-08-2021,46
25-08-2021,62
26-08-2021,77
28-08-2021,103
29-08-2021,77
30-08-2021,39
31-08-2021,30
01-09-2021,24
02-09-2021,22
03-09-2021,31
04-09-2021,34
05-09-2021,50
06-09-2021,48
07-09-2021,51
08-09-2021,51
09-09-2021,40
10-09-2021,58
11-09-2021,29
12-09-2021,37
13-09-2021,39
14-09-2021,25
15-09-2021,26
16-09-2021,21
17-09-2021,21
18-09-2021,25
19-09-2021,39
20-09-2021,28
21-09-2021,60
22-09-2021,26
23-09-2021,27
26-09-2021,37
27-09-2021,42
28-09-2021,53
29-09-2021,26
30-09-2021,49
01-10-2021,44
03-10-2021,68
04-10-2021,52
05-10-2021,73
06-10-2021,84
07-10-2021,101
08-10-2021,152
09-10-2021,145
10-10-2021,150
11-10-2021,163
12-10-2021,142
13-10-2021,165
14-10-2021,170
15-10-2021,181
16-10-2021,292
17-10-2021,203
18-10-2021,13
19-10-2021,43
20-10-2021,111
21-10-2021,208
22-10-2021,120
23-10-2021,132
24-10-2021,176
25-10-2021,93
26-10-2021,182
27-10-2021,228
28-10-2021,282
30-10-2021,298
31-10-2021,279
01-11-2021,286
02-11-2021,283
03-11-2021,293
04-11-2021,330
05-11-2021,448
06-11-2021,424
07-11-2021,435
08-11-2021,475
09-11-2021,454
10-11-2021,373
11-11-2021,458
12-11-2021,471
13-11-2021,376
14-11-2021,251
15-11-2021,285
16-11-2021,275
17-11-2021,267
18-11-2021,269
19-11-2021,298
20-11-2021,294
21-11-2021,207
22-11-2021,162
23-11-2021,100
24-11-2021,229
25-11-2021,259
26-11-2021,307
27-11-2021,274
28-11-2021,249
29-11-2021,271
30-11-2021,184
01-12-2021,297
02-12-2021,343
03-12-2021,197
04-12-2021,225
05-12-2021,163
06-12-2021,272
07-12-2021,177
08-12-2021,93
09-12-2021,138
10-12-2021,181
11-12-2021,154
12-12-2021,165
13-12-2021,256
14-12-2021,252
15-12-2021,294
16-12-2021,306
17-12-2021,267
18-12-2021,163
19-12-2021,93
20-12-2021,154
21-12-2021,273
22-12-2021,272
23-12-2021,285
24-12-2021,260
25-12-2021,328
26-12-2021,354
27-12-2021,221
28-12-2021,178
29-12-2021,254
30-12-2021,182
31-12-2021,229
01-01-2022,270
02-01-2022,330
03-01-2022,322
04-01-2022,299
05-01-2022,325
06-01-2022,203
08-01-2022,48
09-01-2022,49
10-01-2022,72
11-01-2022,100
13-01-2022,105
14-01-2022,193
15-01-2022,146
16-01-2022,118
17-01-2022,157
18-01-2022,160
19-01-2022,191
20-01-2022,200
24-01-2022,122
25-01-2022,124
26-01-2022,110
27-01-2022,104
28-01-2022,78
29-01-2022,75
30-01-2022,98
02-02-2022,197
03-02-2022,122
04-02-2022,134
05-02-2022,118
06-02-2022,92
07-02-2022,112
08-02-2022,99
09-02-2022,61
10-02-2022,51
11-02-2022,81
12-02-2022,71
13-02-2022,121
14-02-2022,103
15-02-2022,164
16-02-2022,193
17-02-2022,125
18-02-2022,147
19-02-2022,66
20-02-2022,84
21-02-2022,93
22-02-2022,108
23-02-2022,96
24-02-2022,160
25-02-2022,198
26-02-2022,63
27-02-2022,47
28-02-2022,58
01-03-2022,69
02-03-2022,133
03-03-2022,130
04-03-2022,126
05-03-2022,60
06-03-2022,72
08-03-2022,146
09-03-2022,100
10-03-2022,94
11-03-2022,102
12-03-2022,95
13-03-2022,108
14-03-2022,165
15-03-2022,129
16-03-2022,141
17-03-2022,112
18-03-2022,179
19-03-2022,125
20-03-2022,116
21-03-2022,147
22-03-2022,125
23-03-2022,134
24-03-2022,161
25-03-2022,166
26-03-2022,134
27-03-2022,126
