Date,AQI
23-09-2019,42
24-09-2019,52
25-09-2019,54
26-09-2019,46
27-09-2019,37
28-09-2019,42
29-09-2019,37
01-10-2019,62
02-10-2019,59
03-10-2019,59
04-10-2019,54
05-10-2019,77
06-10-2019,66
07-10-2019,83
08-10-2019,57
10-10-2019,67
11-10-2019,79
12-10-2019,71
13-10-2019,53
14-10-2019,51
15-10-2019,89
16-10-2019,75
17-10-2019,102
18-10-2019,38
19-10-2019,46
20-10-2019,47
21-10-2019,41
22-10-2019,57
23-10-2019,37
24-10-2019,26
25-10-2019,40
26-10-2019,38
27-10-2019,48
28-10-2019,38
29-10-2019,54
31-10-2019,39
01-11-2019,49
02-11-2019,38
03-11-2019,47
04-11-2019,52
05-11-2019,86
06-11-2019,107
07-11-2019,84
08-11-2019,69
09-11-2019,76
10-11-2019,163
11-11-2019,90
12-11-2019,86
13-11-2019,90
14-11-2019,82
15-11-2019,98
16-11-2019,105
17-11-2019,93
18-11-2019,146
19-11-2019,117
20-11-2019,103
21-11-2019,155
22-11-2019,111
23-11-2019,79
24-11-2019,98
25-11-2019,103
26-11-2019,128
27-11-2019,110
28-11-2019,82
29-11-2019,71
30-11-2019,63
01-12-2019,63
02-12-2019,41
03-12-2019,50
04-12-2019,107
05-12-2019,130
06-12-2019,148
07-12-2019,151
08-12-2019,76
09-12-2019,75
10-12-2019,64
11-12-2019,60
12-12-2019,67
13-12-2019,62
14-12-2019,56
15-12-2019,63
16-12-2019,60
17-12-2019,73
18-12-2019,97
19-12-2019,105
21-12-2019,123
22-12-2019,128
23-12-2019,102
24-12-2019,90
25-12-2019,83
26-12-2019,93
27-12-2019,71
28-12-2019,165
29-12-2019,123
30-12-2019,121
31-12-2019,84
01-01-2020,66
02-01-2020,56
03-01-2020,52
04-01-2020,79
05-01-2020,97
06-01-2020,99
07-01-2020,69
08-01-2020,63
09-01-2020,72
10-01-2020,133
11-01-2020,108
12-01-2020,109
13-01-2020,102
14-01-2020,92
15-01-2020,75
16-01-2020,50
17-01-2020,60
18-01-2020,59
19-01-2020,56
20-01-2020,64
21-01-2020,62
22-01-2020,55
23-01-2020,59
24-01-2020,70
25-01-2020,68
26-01-2020,86
27-01-2020,93
28-01-2020,87
29-01-2020,83
30-01-2020,76
31-01-2020,123
01-02-2020,92
02-02-2020,73
03-02-2020,65
19-02-2020,71
20-02-2020,71
21-02-2020,61
22-02-2020,56
23-02-2020,52
24-02-2020,65
25-02-2020,66
26-02-2020,82
27-02-2020,77
28-02-2020,74
29-02-2020,74
01-03-2020,72
02-03-2020,67
03-03-2020,73
04-03-2020,62
05-03-2020,71
06-03-2020,79
07-03-2020,77
08-03-2020,55
09-03-2020,55
10-03-2020,59
11-03-2020,61
12-03-2020,55
13-03-2020,41
14-03-2020,51
15-03-2020,58
16-03-2020,45
17-03-2020,46
19-03-2020,59
20-03-2020,73
21-03-2020,65
22-03-2020,66
23-03-2020,59
24-03-2020,64
25-03-2020,55
26-03-2020,46
27-03-2020,58
28-03-2020,60
29-03-2020,66
30-03-2020,62
31-03-2020,60
01-04-2020,62
02-04-2020,68
03-04-2020,72
04-04-2020,63
05-04-2020,60
06-04-2020,56
07-04-2020,42
08-04-2020,32
11-04-2020,37
12-04-2020,38
13-04-2020,56
14-04-2020,72
15-04-2020,72
16-04-2020,74
17-04-2020,65
18-04-2020,58
02-05-2020,51
03-05-2020,52
04-05-2020,57
05-05-2020,76
06-05-2020,62
07-05-2020,58
12-05-2020,36
13-05-2020,48
14-05-2020,54
15-05-2020,32
16-05-2020,28
23-05-2020,78
24-05-2020,84
25-05-2020,80
30-05-2020,38
31-05-2020,35
01-06-2020,26
10-06-2020,39
11-06-2020,22
12-06-2020,20
20-06-2020,47
21-06-2020,47
22-06-2020,46
23-06-2020,48
25-06-2020,54
26-06-2020,62
28-06-2020,37
29-06-2020,30
30-06-2020,68
01-07-2020,28
02-07-2020,27
03-07-2020,40
04-07-2020,32
05-07-2020,25
07-07-2020,45
11-10-2020,27
12-10-2020,21
14-10-2020,26
18-10-2020,57
19-10-2020,40
20-10-2020,32
21-10-2020,40
22-10-2020,62
23-10-2020,99
24-10-2020,78
25-10-2020,64
28-10-2020,77
30-10-2020,90
31-10-2020,151
01-11-2020,173
02-11-2020,118
03-11-2020,111
04-11-2020,105
05-11-2020,102
06-11-2020,107
07-11-2020,97
08-11-2020,104
09-11-2020,114
10-11-2020,116
22-11-2020,76
23-11-2020,68
24-11-2020,92
25-11-2020,73
26-11-2020,56
03-12-2020,69
04-12-2020,59
05-12-2020,75
06-12-2020,80
07-12-2020,69
08-12-2020,72
09-12-2020,74
10-12-2020,74
11-12-2020,79
12-12-2020,78
13-12-2020,84
14-12-2020,72
15-12-2020,68
16-12-2020,73
17-12-2020,68
18-12-2020,85
19-12-2020,102
20-12-2020,102
21-12-2020,94
22-12-2020,96
23-12-2020,96
24-12-2020,99
25-12-2020,104
26-12-2020,133
27-12-2020,153
28-12-2020,144
29-12-2020,146
30-12-2020,142
31-12-2020,105
01-01-2021,108
02-01-2021,126
03-01-2021,144
04-01-2021,85
05-01-2021,61
06-01-2021,55
07-01-2021,37
08-01-2021,73
09-01-2021,42
10-01-2021,54
11-01-2021,75
12-01-2021,72
13-01-2021,83
14-01-2021,84
15-01-2021,76
16-01-2021,88
17-01-2021,89
18-01-2021,69
20-01-2021,85
21-01-2021,83
22-01-2021,90
23-01-2021,98
24-01-2021,88
25-01-2021,98
26-01-2021,80
27-01-2021,86
28-01-2021,104
29-01-2021,95
30-01-2021,90
31-01-2021,90
01-02-2021,93
02-02-2021,92
03-02-2021,77
04-02-2021,81
05-02-2021,90
06-02-2021,92
07-02-2021,93
08-02-2021,96
09-02-2021,91
10-02-2021,88
11-02-2021,89
12-02-2021,86
13-02-2021,83
14-02-2021,92
15-02-2021,92
16-02-2021,100
17-02-2021,92
18-02-2021,85
19-02-2021,92
20-02-2021,75
21-02-2021,54
22-02-2021,55
23-02-2021,72
24-02-2021,80
25-02-2021,89
26-02-2021,90
27-02-2021,103
28-02-2021,89
01-03-2021,86
02-03-2021,86
