Date,AQI
07-01-2019,296
08-01-2019,231
09-01-2019,258
10-01-2019,216
11-01-2019,349
12-01-2019,341
13-01-2019,304
14-01-2019,127
15-01-2019,156
16-01-2019,302
17-01-2019,333
18-01-2019,299
19-01-2019,220
22-01-2019,140
23-01-2019,73
24-01-2019,153
25-01-2019,86
26-01-2019,113
27-01-2019,91
28-01-2019,93
29-01-2019,159
30-01-2019,166
31-01-2019,294
01-02-2019,195
02-02-2019,124
03-02-2019,101
04-02-2019,232
05-02-2019,251
06-02-2019,280
07-02-2019,131
09-02-2019,80
10-02-2019,120
11-02-2019,174
12-02-2019,178
13-02-2019,244
14-02-2019,261
15-02-2019,103
16-02-2019,84
17-02-2019,80
18-02-2019,146
19-02-2019,67
20-02-2019,147
21-02-2019,107
22-02-2019,124
23-02-2019,79
24-02-2019,100
25-02-2019,152
26-02-2019,169
28-02-2019,73
01-03-2019,94
03-03-2019,87
04-03-2019,76
05-03-2019,71
06-03-2019,97
07-03-2019,167
08-03-2019,134
09-03-2019,105
10-03-2019,168
11-03-2019,137
12-03-2019,99
13-03-2019,191
15-03-2019,98
16-03-2019,93
17-03-2019,155
18-03-2019,118
19-03-2019,122
20-03-2019,178
21-03-2019,109
22-03-2019,92
23-03-2019,111
24-03-2019,105
25-03-2019,122
26-03-2019,121
27-03-2019,136
28-03-2019,183
29-03-2019,177
30-03-2019,207
31-03-2019,134
01-04-2019,167
02-04-2019,161
03-04-2019,158
04-04-2019,196
05-04-2019,196
06-04-2019,236
07-04-2019,225
08-04-2019,189
09-04-2019,176
10-04-2019,173
11-04-2019,183
12-04-2019,166
13-04-2019,186
14-04-2019,136
15-04-2019,141
16-04-2019,176
17-04-2019,127
18-04-2019,61
19-04-2019,113
20-04-2019,125
21-04-2019,230
22-04-2019,129
23-04-2019,173
24-04-2019,257
25-04-2019,225
26-04-2019,265
27-04-2019,174
28-04-2019,202
29-04-2019,163
30-04-2019,182
01-05-2019,139
02-05-2019,120
03-05-2019,106
04-05-2019,135
05-05-2019,157
06-05-2019,219
07-05-2019,149
08-05-2019,226
09-05-2019,201
10-05-2019,247
11-05-2019,145
12-05-2019,202
13-05-2019,121
14-05-2019,175
15-05-2019,213
16-05-2019,293
17-05-2019,303
18-05-2019,178
19-05-2019,156
20-05-2019,176
21-05-2019,237
22-05-2019,201
23-05-2019,238
24-05-2019,162
25-05-2019,116
26-05-2019,122
27-05-2019,146
28-05-2019,121
29-05-2019,123
30-05-2019,188
31-05-2019,214
01-06-2019,236
02-06-2019,195
03-06-2019,171
04-06-2019,158
05-06-2019,244
